ensembl_gene_id	Gene	flygene	flygenename	soma_log2FC	neurite_log2FC	log2FC_LR_v1	pvalue_v1	minusdox_log2LR	plusdox_log2LR	log2FC_LR_v2	pvalue_v2	log2FC_LR_final	pvalue_final	pvalue.adjust	CLIPin3UTR
ENSMUSG00000039043	Arpin			-4.26e-02	-3.35e-02	 0.009058	 9.29e-01	 4.19e-01	 4.28e-01	 0.009042	 9.27e-01	 0.009058	 9.29e-01	 9.70e-01	no
ENSMUSG00000041935	AW549877			-1.62e-01	-1.02e-01	 0.059893	 4.58e-01	-2.58e-01	-1.98e-01	 0.059893	 4.86e-01	 0.059893	 4.86e-01	 7.45e-01	no
ENSMUSG00000044934	Zfp367	FBgn0013469	klu	 3.40e-01	 1.47e-01	-0.192458	 3.40e-01	 4.03e-01	 2.11e-01	-0.192690	 3.75e-01	-0.192690	 3.75e-01	 6.60e-01	no
ENSMUSG00000044934	Zfp367	FBgn0030455	CG4318	 3.40e-01	 1.47e-01	-0.192458	 3.40e-01	 4.03e-01	 2.11e-01	-0.192690	 3.75e-01	-0.192690	 3.75e-01	 6.60e-01	no
ENSMUSG00000028273	Pdlim5	FBgn0265991	Zasp52	-3.05e-01	-2.20e-01	 0.084776	 4.51e-01	-1.59e-01	-7.45e-02	 0.084776	 4.63e-01	 0.084776	 4.63e-01	 7.30e-01	yes
ENSMUSG00000079267	Gm5930			 9.46e-02	 4.25e-02	-0.052574	 7.90e-01	 4.78e-01	 4.26e-01	-0.052009	 7.78e-01	-0.052574	 7.90e-01	 9.14e-01	no
ENSMUSG00000049489	Ccnq	FBgn0264816	koko	 5.83e-02	 2.09e-01	 0.150613	 2.94e-01	 4.39e-01	 5.90e-01	 0.150613	 2.89e-01	 0.150613	 2.94e-01	 5.88e-01	no
ENSMUSG00000022186	Oxct1	FBgn0035298	SCOT	-3.05e-01	-3.96e-01	-0.091114	 1.87e-01	 4.95e-01	 4.04e-01	-0.091114	 1.92e-01	-0.091114	 1.92e-01	 4.74e-01	no
ENSMUSG00000021476	Habp4	FBgn0030623	PPYR1	 3.76e-01	 5.48e-01	 0.172353	 1.53e-01	-1.91e-02	 1.53e-01	 0.172446	 1.99e-01	 0.172446	 1.99e-01	 4.81e-01	no
ENSMUSG00000021476	Habp4	FBgn0024183	vig	 3.76e-01	 5.48e-01	 0.172353	 1.53e-01	-1.91e-02	 1.53e-01	 0.172446	 1.99e-01	 0.172446	 1.99e-01	 4.81e-01	no
ENSMUSG00000021476	Habp4	FBgn0046214	vig2	 3.76e-01	 5.48e-01	 0.172353	 1.53e-01	-1.91e-02	 1.53e-01	 0.172446	 1.99e-01	 0.172446	 1.99e-01	 4.81e-01	no
ENSMUSG00000072640	Lyrm9			 2.23e-01	 1.24e+00	 1.018053	 3.10e-07	 7.10e-02	 1.09e+00	 1.018165	 4.91e-07	 1.018165	 4.91e-07	 3.30e-05	no
ENSMUSG00000056612	Ppp1r14b	FBgn0032297	CG17124	-1.86e-01	-3.70e-01	-0.183351	 1.67e-02	 8.92e-01	 7.09e-01	-0.183351	 9.32e-03	-0.183351	 1.67e-02	 1.13e-01	no
ENSMUSG00000020003	Pex7	FBgn0035922	Pex7	 4.13e-01	 1.22e-01	-0.291643	 4.42e-02	 4.44e-01	 1.53e-01	-0.291188	 3.02e-02	-0.291643	 4.42e-02	 2.05e-01	no
ENSMUSG00000115801	AC160336.1			 5.53e-02	-1.36e+00	-1.418444	 6.32e-08	 2.35e+00	 9.34e-01	-1.418724	 1.10e-21	-1.418444	 6.32e-08	 5.23e-06	no
ENSMUSG00000056629	Fkbp2			-4.85e-01	-4.71e-01	 0.013856	 9.06e-01	 6.76e-01	 6.90e-01	 0.013950	 8.93e-01	 0.013856	 9.06e-01	 9.64e-01	no
ENSMUSG00000024962	Vegfb			 9.66e-03	-2.60e-01	-0.269079	 3.66e-02	 4.65e-01	 1.96e-01	-0.269155	 4.83e-02	-0.269155	 4.83e-02	 2.16e-01	no
ENSMUSG00000033102	Cdc14b			 8.03e-02	 3.64e-02	-0.044141	 7.56e-01	-5.57e-01	-6.01e-01	-0.043837	 7.74e-01	-0.043837	 7.74e-01	 9.06e-01	no
ENSMUSG00000000326	Comt			-2.54e-01	-3.05e-01	-0.050713	 5.68e-01	 1.89e-01	 1.38e-01	-0.050713	 5.51e-01	-0.050713	 5.68e-01	 7.96e-01	no
ENSMUSG00000003420	Fcgrt			-6.34e-01	-5.11e-01	 0.123386	 3.19e-01	 4.44e-02	 1.68e-01	 0.123386	 2.98e-01	 0.123386	 3.19e-01	 6.10e-01	no
ENSMUSG00000071369	Map3k5	FBgn0014006	Ask1	 4.04e-01	 9.49e-02	-0.309214	 1.41e-03	-2.68e-01	-5.77e-01	-0.309003	 9.87e-04	-0.309214	 1.41e-03	 2.16e-02	no
ENSMUSG00000047013	Fbxo41			-7.39e-01	-9.15e-01	-0.176491	 1.13e-01	-6.46e-01	-8.23e-01	-0.176491	 1.46e-01	-0.176491	 1.46e-01	 4.10e-01	no
ENSMUSG00000024963	Dnajc4	FBgn0037718	P58IPK	-2.77e-01	-3.76e-01	-0.099437	 5.68e-01	 6.94e-02	-2.96e-02	-0.099437	 5.70e-01	-0.099437	 5.70e-01	 7.97e-01	no
ENSMUSG00000024963	Dnajc4	FBgn0287183	l(3)80Fg	-2.77e-01	-3.76e-01	-0.099437	 5.68e-01	 6.94e-02	-2.96e-02	-0.099437	 5.70e-01	-0.099437	 5.70e-01	 7.97e-01	no
ENSMUSG00000024963	Dnajc4	FBgn0037051	CG10565	-2.77e-01	-3.76e-01	-0.099437	 5.68e-01	 6.94e-02	-2.96e-02	-0.099437	 5.70e-01	-0.099437	 5.70e-01	 7.97e-01	no
ENSMUSG00000038244	Mical2			 1.45e-01	 8.25e-03	-0.136286	 2.53e-01	-1.66e-01	-3.03e-01	-0.136286	 3.12e-01	-0.136286	 3.12e-01	 6.04e-01	no
ENSMUSG00000022211	Carmil3	FBgn0033212	LRR	 1.28e-01	 1.65e-01	 0.036905	 7.65e-01	-1.39e+00	-1.35e+00	 0.036905	 8.22e-01	 0.036905	 8.22e-01	 9.26e-01	no
ENSMUSG00000075704	Txnrd2			-1.24e+00	-1.46e+00	-0.220042	 1.96e-01	 6.64e-01	 4.45e-01	-0.220599	 1.53e-01	-0.220042	 1.96e-01	 4.78e-01	no
ENSMUSG00000067150	Xpo5	FBgn0031051	Ranbp21	 1.20e+00	 1.15e+00	-0.053753	 4.96e-01	-3.08e-01	-3.62e-01	-0.053580	 5.42e-01	-0.053580	 5.42e-01	 7.80e-01	no
ENSMUSG00000045010	Gm4779			 4.06e-02	 1.46e-01	 0.104972	 3.97e-01	-6.31e-01	-5.26e-01	 0.105243	 4.33e-01	 0.105243	 4.33e-01	 7.06e-01	no
ENSMUSG00000046774	8030474K03Rik			-1.75e-01	 8.88e-02	 0.263440	 1.05e-01	-2.82e-01	-1.84e-02	 0.263806	 1.05e-01	 0.263440	 1.05e-01	 3.36e-01	no
ENSMUSG00000019996	Map7	FBgn0264693	ens	 1.36e-01	 1.67e-01	 0.030866	 8.81e-01	-5.99e-01	-5.68e-01	 0.030959	 9.03e-01	 0.030959	 9.03e-01	 9.62e-01	no
ENSMUSG00000040265	Dnm3			 1.07e+00	 4.25e-01	-0.649503	 9.79e-05	-2.89e-01	-9.37e-01	-0.648694	 1.57e-04	-0.648694	 1.57e-04	 4.25e-03	yes
ENSMUSG00000024966	Stip1			-4.30e-02	-1.04e-01	-0.061534	 3.67e-01	 1.75e-01	 1.14e-01	-0.061440	 3.29e-01	-0.061534	 3.67e-01	 6.53e-01	no
ENSMUSG00000079481	Nhsl2			-1.86e-01	-7.63e-01	-0.576873	 5.66e-03	-5.30e-01	-1.11e+00	-0.577530	 1.84e-02	-0.577530	 1.84e-02	 1.21e-01	no
ENSMUSG00000037805	Rpl10a	FBgn0036213	RpL10Ab	 3.86e-01	 3.06e-01	-0.079313	 3.84e-01	 9.92e-01	 9.13e-01	-0.079269	 3.71e-01	-0.079313	 3.84e-01	 6.66e-01	no
ENSMUSG00000017314	Mpp2	FBgn0050021	metro	 2.99e-01	-6.70e-02	-0.366122	 2.54e-04	-1.63e-01	-5.29e-01	-0.366231	 1.44e-03	-0.366231	 1.44e-03	 2.18e-02	no
ENSMUSG00000017314	Mpp2	FBgn0250785	vari	 2.99e-01	-6.70e-02	-0.366122	 2.54e-04	-1.63e-01	-5.29e-01	-0.366231	 1.44e-03	-0.366231	 1.44e-03	 2.18e-02	no
ENSMUSG00000021482	Prxl2c			-9.57e-03	 1.05e-01	 0.114302	 4.10e-01	 3.02e-01	 4.17e-01	 0.114302	 4.11e-01	 0.114302	 4.11e-01	 6.90e-01	no
ENSMUSG00000049191	Rtl5			 1.38e-01	-6.36e-01	-0.774538	 2.70e-04	-4.53e-02	-8.19e-01	-0.774634	 4.48e-04	-0.774634	 4.48e-04	 9.14e-03	no
ENSMUSG00000060862	Zbtb40	FBgn0030009	CG15336	-1.88e-01	-1.50e-02	 0.172701	 2.05e-01	-1.33e+00	-1.16e+00	 0.172701	 2.92e-01	 0.172701	 2.92e-01	 5.87e-01	no
ENSMUSG00000060862	Zbtb40	FBgn0264744	CG44002	-1.88e-01	-1.50e-02	 0.172701	 2.05e-01	-1.33e+00	-1.16e+00	 0.172701	 2.92e-01	 0.172701	 2.92e-01	 5.87e-01	no
ENSMUSG00000049148	Plcxd3	FBgn0032845	CG10747	-5.91e-01	-6.92e-01	-0.101255	 3.41e-01	-4.09e-01	-5.10e-01	-0.101255	 3.60e-01	-0.101255	 3.60e-01	 6.47e-01	no
ENSMUSG00000079480	Pin4	FBgn0039305	CG11858	-1.95e-01	-1.61e-01	 0.034596	 7.98e-01	 1.26e+00	 1.29e+00	 0.034414	 7.59e-01	 0.034596	 7.98e-01	 9.17e-01	no
ENSMUSG00000051220	Ercc6l			 1.27e+00	 1.09e+00	-0.188409	 2.52e-01	 4.33e-01	 2.45e-01	-0.187544	 2.86e-01	-0.187544	 2.86e-01	 5.80e-01	no
ENSMUSG00000021830	Txndc16			-8.98e-02	 1.04e-01	 0.194555	 1.63e-01	-2.28e-01	-3.33e-02	 0.194515	 2.11e-01	 0.194515	 2.11e-01	 4.98e-01	yes
ENSMUSG00000031320	Rps4x	FBgn0011284	RpS4	 2.19e-01	 3.00e-02	-0.189398	 3.28e-03	 1.43e+00	 1.24e+00	-0.189398	 3.16e-03	-0.189398	 3.28e-03	 3.92e-02	no
ENSMUSG00000024120	Lrpprc	FBgn0027794	Lrpprc2	 4.05e-01	 5.24e-01	 0.118786	 1.43e-01	-3.19e-01	-2.00e-01	 0.118958	 1.05e-01	 0.118786	 1.43e-01	 4.04e-01	no
ENSMUSG00000024120	Lrpprc	FBgn0284256	bsf	 4.05e-01	 5.24e-01	 0.118786	 1.43e-01	-3.19e-01	-2.00e-01	 0.118958	 1.05e-01	 0.118786	 1.43e-01	 4.04e-01	no
ENSMUSG00000037608	Bclaf1			 2.63e-01	 3.49e-01	 0.085644	 2.44e-01	-6.77e-02	 1.80e-02	 0.085735	 2.22e-01	 0.085644	 2.44e-01	 5.39e-01	no
ENSMUSG00000021477	Ctsl	FBgn0034229	CG4847	-8.38e-01	-3.79e-01	 0.458970	 2.38e-08	-8.37e-02	 3.75e-01	 0.458824	 3.44e-07	 0.458824	 3.44e-07	 2.44e-05	no
ENSMUSG00000021477	Ctsl	FBgn0013770	Cp1	-8.38e-01	-3.79e-01	 0.458970	 2.38e-08	-8.37e-02	 3.75e-01	 0.458824	 3.44e-07	 0.458824	 3.44e-07	 2.44e-05	no
ENSMUSG00000067567	Hdac8			 1.93e-01	 9.25e-02	-0.101098	 4.77e-01	 3.30e-01	 2.29e-01	-0.100788	 4.74e-01	-0.101098	 4.77e-01	 7.39e-01	no
ENSMUSG00000022253	Nadk2	FBgn0033373	CG8080	 1.92e-01	 3.60e-01	 0.167912	 1.05e-01	-7.76e-02	 9.05e-02	 0.168149	 1.06e-01	 0.168149	 1.06e-01	 3.38e-01	no
ENSMUSG00000054115	Skp2	FBgn0038445	CG14891	-6.42e-02	 5.71e-02	 0.121246	 3.58e-01	-1.93e-01	-7.14e-02	 0.121430	 3.95e-01	 0.121430	 3.95e-01	 6.75e-01	no
ENSMUSG00000054115	Skp2	FBgn0037236	Skp2	-6.42e-02	 5.71e-02	 0.121246	 3.58e-01	-1.93e-01	-7.14e-02	 0.121430	 3.95e-01	 0.121430	 3.95e-01	 6.75e-01	no
ENSMUSG00000054115	Skp2	FBgn0039667	FipoQ	-6.42e-02	 5.71e-02	 0.121246	 3.58e-01	-1.93e-01	-7.14e-02	 0.121430	 3.95e-01	 0.121430	 3.95e-01	 6.75e-01	no
ENSMUSG00000054115	Skp2	FBgn0033639	CG9003	-6.42e-02	 5.71e-02	 0.121246	 3.58e-01	-1.93e-01	-7.14e-02	 0.121430	 3.95e-01	 0.121430	 3.95e-01	 6.75e-01	no
ENSMUSG00000054115	Skp2	FBgn0033337	CG8272	-6.42e-02	 5.71e-02	 0.121246	 3.58e-01	-1.93e-01	-7.14e-02	 0.121430	 3.95e-01	 0.121430	 3.95e-01	 6.75e-01	no
ENSMUSG00000054115	Skp2	FBgn0030918	CG15056	-6.42e-02	 5.71e-02	 0.121246	 3.58e-01	-1.93e-01	-7.14e-02	 0.121430	 3.95e-01	 0.121430	 3.95e-01	 6.75e-01	no
ENSMUSG00000054115	Skp2	FBgn0039554	CG5003	-6.42e-02	 5.71e-02	 0.121246	 3.58e-01	-1.93e-01	-7.14e-02	 0.121430	 3.95e-01	 0.121430	 3.95e-01	 6.75e-01	no
ENSMUSG00000034055	Phka1	FBgn0030087	CG7766	 5.80e-02	-1.09e-01	-0.167353	 2.61e-01	-1.53e-01	-3.20e-01	-0.167016	 2.79e-01	-0.167016	 2.79e-01	 5.72e-01	yes
ENSMUSG00000029920	Smarcad1	FBgn0032157	Etl1	-1.11e-01	-1.37e-01	-0.026671	 7.51e-01	 1.48e-01	 1.22e-01	-0.026671	 7.60e-01	-0.026671	 7.60e-01	 9.00e-01	no
ENSMUSG00000078190	Dnm3os			-1.27e+00	-6.45e-01	 0.623250	 7.54e-05	-5.89e-01	 3.45e-02	 0.622868	 9.65e-05	 0.622868	 9.65e-05	 2.95e-03	no
ENSMUSG00000067148	Polr1c	FBgn0031657	CG3756	 2.44e-01	 3.79e-01	 0.134056	 7.80e-02	 5.63e-01	 6.97e-01	 0.134056	 9.69e-02	 0.134056	 9.69e-02	 3.20e-01	no
ENSMUSG00000021483	Cdk20	FBgn0038902	CG6800	-2.05e-01	-5.92e-01	-0.387028	 1.70e-02	 2.79e-01	-1.08e-01	-0.387031	 1.39e-02	-0.387028	 1.70e-02	 1.15e-01	no
ENSMUSG00000035545	Leng8			 2.93e-01	 2.11e-01	-0.082167	 4.26e-01	-1.36e+00	-1.44e+00	-0.082167	 4.96e-01	-0.082167	 4.96e-01	 7.52e-01	no
ENSMUSG00000023307	Marchf5	FBgn0029661	CG16781	 7.80e-02	 1.47e-01	 0.068586	 4.31e-01	 2.89e-01	 3.58e-01	 0.068586	 4.19e-01	 0.068586	 4.31e-01	 7.05e-01	no
ENSMUSG00000023307	Marchf5	FBgn0037242	CG9855	 7.80e-02	 1.47e-01	 0.068586	 4.31e-01	 2.89e-01	 3.58e-01	 0.068586	 4.19e-01	 0.068586	 4.31e-01	 7.05e-01	no
ENSMUSG00000023307	Marchf5	FBgn0030015	CG10761	 7.80e-02	 1.47e-01	 0.068586	 4.31e-01	 2.89e-01	 3.58e-01	 0.068586	 4.19e-01	 0.068586	 4.31e-01	 7.05e-01	no
ENSMUSG00000023307	Marchf5	FBgn0039498	CG17991	 7.80e-02	 1.47e-01	 0.068586	 4.31e-01	 2.89e-01	 3.58e-01	 0.068586	 4.19e-01	 0.068586	 4.31e-01	 7.05e-01	no
ENSMUSG00000071074	Yipf3			-1.27e-01	-3.62e-02	 0.090373	 3.28e-01	 4.62e-02	 1.37e-01	 0.090373	 2.96e-01	 0.090373	 3.28e-01	 6.18e-01	no
ENSMUSG00000039704	Lmbrd2	FBgn0037689	CG8135	-1.61e-01	-1.23e-01	 0.037864	 6.31e-01	-7.58e-01	-7.20e-01	 0.037864	 6.72e-01	 0.037864	 6.72e-01	 8.56e-01	no
ENSMUSG00000056999	Ide	FBgn0001247	Ide	 4.15e-02	-8.31e-03	-0.049829	 5.22e-01	-1.49e-01	-1.99e-01	-0.049829	 5.44e-01	-0.049829	 5.44e-01	 7.81e-01	no
ENSMUSG00000032846	Zswim6			-1.99e-01	-2.25e-01	-0.026263	 8.21e-01	-4.80e-01	-5.06e-01	-0.026263	 8.34e-01	-0.026263	 8.34e-01	 9.31e-01	no
ENSMUSG00000071180	Smim15			-9.29e-02	-8.21e-02	 0.010706	 9.29e-01	 6.09e-01	 6.20e-01	 0.010860	 9.14e-01	 0.010706	 9.29e-01	 9.70e-01	no
ENSMUSG00000026628	Atf3	FBgn0028550	Atf3	 9.19e-01	 1.06e+00	 0.138725	 3.11e-01	 5.47e-01	 6.85e-01	 0.139312	 2.97e-01	 0.138725	 3.11e-01	 6.04e-01	no
ENSMUSG00000006699	Cdc42	FBgn0010341	Cdc42	-1.69e-01	 1.11e-02	 0.180148	 1.26e-02	 4.23e-01	 6.03e-01	 0.180148	 1.36e-02	 0.180148	 1.36e-02	 9.94e-02	no
ENSMUSG00000020364	Zfp354a			 4.04e-01	 3.69e-02	-0.367414	 1.60e-02	 1.05e-01	-2.62e-01	-0.367473	 1.98e-02	-0.367473	 1.98e-02	 1.26e-01	no
ENSMUSG00000026024	Als2	FBgn0002638	Rcc1	-3.70e-01	-3.46e-01	 0.023474	 8.04e-01	-2.07e-01	-1.84e-01	 0.023474	 8.15e-01	 0.023474	 8.15e-01	 9.23e-01	no
ENSMUSG00000026024	Als2	FBgn0031344	CG7420	-3.70e-01	-3.46e-01	 0.023474	 8.04e-01	-2.07e-01	-1.84e-01	 0.023474	 8.15e-01	 0.023474	 8.15e-01	 9.23e-01	no
ENSMUSG00000026024	Als2	FBgn0000247	ca	-3.70e-01	-3.46e-01	 0.023474	 8.04e-01	-2.07e-01	-1.84e-01	 0.023474	 8.15e-01	 0.023474	 8.15e-01	 9.23e-01	no
ENSMUSG00000020921	Tmem101			 1.48e-01	 1.95e-01	 0.046934	 7.41e-01	-6.30e-02	-1.56e-02	 0.047392	 7.25e-01	 0.046934	 7.41e-01	 8.92e-01	no
ENSMUSG00000019528	Gyg	FBgn0265191	Gyg	-1.02e-02	-2.17e-01	-0.206810	 1.62e-01	 8.60e-01	 6.54e-01	-0.206856	 1.41e-01	-0.206810	 1.62e-01	 4.33e-01	no
ENSMUSG00000022797	Tfrc			 6.45e-02	 1.80e-01	 0.115930	 1.90e-01	-8.36e-02	 3.24e-02	 0.115969	 2.94e-01	 0.115969	 2.94e-01	 5.88e-01	no
ENSMUSG00000020922	Lsm12	FBgn0030364	Lsm12a	-4.27e-02	 5.57e-02	 0.098346	 2.22e-01	 3.32e-01	 4.30e-01	 0.098346	 2.30e-01	 0.098346	 2.30e-01	 5.24e-01	no
ENSMUSG00000020922	Lsm12	FBgn0036057	Hez	-4.27e-02	 5.57e-02	 0.098346	 2.22e-01	 3.32e-01	 4.30e-01	 0.098346	 2.30e-01	 0.098346	 2.30e-01	 5.24e-01	no
ENSMUSG00000001123	Lgals9			-7.59e-02	 6.33e-02	 0.139252	 1.23e-01	 3.79e-01	 5.18e-01	 0.139252	 1.27e-01	 0.139252	 1.27e-01	 3.74e-01	no
ENSMUSG00000067889	Sptbn2			 5.54e-01	 4.74e-01	-0.080145	 5.51e-01	 6.42e-01	 5.62e-01	-0.080076	 5.66e-01	-0.080076	 5.66e-01	 7.96e-01	no
ENSMUSG00000063810	Alms1			 4.50e-01	 3.82e-01	-0.068123	 5.74e-01	-7.19e-01	-7.87e-01	-0.067820	 5.60e-01	-0.068123	 5.74e-01	 8.00e-01	no
ENSMUSG00000061104	Sap18b	FBgn0024491	Bin1	 2.11e-01	 1.33e-01	-0.077943	 3.63e-01	 5.83e-01	 5.05e-01	-0.077943	 3.62e-01	-0.077943	 3.63e-01	 6.49e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0032036	CG13384	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0033911	VGAT	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0035300	CG1139	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0036116	CG7888	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0052079	CG32079	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0052081	CG32081	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0033572	polyph	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0285912	mah	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0030816	CG16700	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000036534	Slc38a7	FBgn0030817	CG4991	-1.36e-01	-2.84e-01	-0.148267	 1.11e-01	-3.39e-01	-4.87e-01	-0.148072	 1.11e-01	-0.148072	 1.11e-01	 3.46e-01	no
ENSMUSG00000062627	Mysm1			-4.68e-03	-4.68e-01	-0.463641	 1.19e-04	-1.01e-01	-5.64e-01	-0.463489	 2.87e-05	-0.463641	 1.19e-04	 3.45e-03	no
ENSMUSG00000022791	Tnk2	FBgn0028484	Ack	 2.17e-01	-3.19e-01	-0.535594	 1.61e-07	-3.03e-01	-8.38e-01	-0.535673	 3.12e-06	-0.535673	 3.12e-06	 1.69e-04	no
ENSMUSG00000071073	Lrrc73			-2.69e-01	-6.88e-01	-0.419261	 2.07e-02	 4.10e-01	-9.56e-03	-0.419868	 2.38e-02	-0.419868	 2.38e-02	 1.41e-01	no
ENSMUSG00000003429	Rps11	FBgn0033699	RpS11	 1.42e-01	-5.90e-02	-0.201015	 7.93e-03	 1.48e+00	 1.28e+00	-0.201015	 1.35e-02	-0.201015	 1.35e-02	 9.90e-02	no
ENSMUSG00000026694	Eef1aknmt	FBgn0032873	CG2614	 3.29e-01	 2.96e-01	-0.033278	 7.36e-01	-2.17e-01	-2.50e-01	-0.033054	 7.60e-01	-0.033054	 7.60e-01	 9.00e-01	no
ENSMUSG00000071456	1110002L01Rik			 3.45e-01	 1.80e-01	-0.164781	 2.03e-01	-9.84e-02	-2.63e-01	-0.164504	 2.12e-01	-0.164504	 2.12e-01	 4.99e-01	no
ENSMUSG00000061130	Ppm1b	FBgn0029958	Pdp	 6.94e-01	 7.36e-01	 0.041247	 6.16e-01	-3.95e-03	 3.72e-02	 0.041247	 6.32e-01	 0.041247	 6.32e-01	 8.32e-01	no
ENSMUSG00000061130	Ppm1b	FBgn0032702	CG10376	 6.94e-01	 7.36e-01	 0.041247	 6.16e-01	-3.95e-03	 3.72e-02	 0.041247	 6.32e-01	 0.041247	 6.32e-01	 8.32e-01	no
ENSMUSG00000031672	Got2	FBgn0001125	Got2	-1.00e-01	-2.19e-01	-0.118410	 7.07e-02	 3.60e-01	 2.41e-01	-0.118452	 9.15e-02	-0.118452	 9.15e-02	 3.10e-01	no
ENSMUSG00000061306	Slc38a10	FBgn0050394	CG30394	-2.08e-01	-5.02e-01	-0.294207	 5.54e-04	-3.08e-01	-6.02e-01	-0.294272	 2.43e-03	-0.294272	 2.43e-03	 3.14e-02	no
ENSMUSG00000033760	Rbm4b			 1.06e-01	 3.38e-01	 0.231962	 7.65e-02	 2.10e-01	 4.42e-01	 0.231962	 6.85e-02	 0.231962	 7.65e-02	 2.79e-01	no
ENSMUSG00000019986	Ahi1			 8.38e-01	 6.91e-01	-0.147508	 6.28e-02	-5.05e-02	-1.98e-01	-0.147508	 7.10e-02	-0.147508	 7.10e-02	 2.67e-01	yes
ENSMUSG00000048897	Zfp710	FBgn0032817	CG10631	-3.27e-02	-3.46e-01	-0.314001	 4.28e-03	-5.82e-01	-8.96e-01	-0.313750	 3.77e-03	-0.314001	 4.28e-03	 4.68e-02	no
ENSMUSG00000048897	Zfp710	FBgn0028647	CG11902	-3.27e-02	-3.46e-01	-0.314001	 4.28e-03	-5.82e-01	-8.96e-01	-0.313750	 3.77e-03	-0.314001	 4.28e-03	 4.68e-02	no
ENSMUSG00000048897	Zfp710	FBgn0030314	CG11696	-3.27e-02	-3.46e-01	-0.314001	 4.28e-03	-5.82e-01	-8.96e-01	-0.313750	 3.77e-03	-0.314001	 4.28e-03	 4.68e-02	no
ENSMUSG00000037499	Nenf			-1.18e-01	-3.34e-01	-0.216083	 2.34e-02	 1.31e+00	 1.09e+00	-0.216127	 9.25e-03	-0.216083	 2.34e-02	 1.40e-01	no
ENSMUSG00000026627	Pacc1			-7.82e-02	 2.44e-01	 0.322412	 2.73e-03	-3.76e-01	-5.33e-02	 0.322653	 5.31e-03	 0.322653	 5.31e-03	 5.40e-02	no
ENSMUSG00000094936	Rbm4			 4.59e-01	 4.90e-01	 0.031316	 8.08e-01	 1.34e-01	 1.66e-01	 0.031580	 8.12e-01	 0.031580	 8.12e-01	 9.23e-01	no
ENSMUSG00000070738	Dgkd	FBgn0085413	CG34384	-1.34e-01	-1.17e-01	 0.016532	 8.52e-01	-5.19e-01	-5.03e-01	 0.016532	 8.50e-01	 0.016532	 8.52e-01	 9.39e-01	no
ENSMUSG00000070738	Dgkd	FBgn0261549	rdgA	-1.34e-01	-1.17e-01	 0.016532	 8.52e-01	-5.19e-01	-5.03e-01	 0.016532	 8.50e-01	 0.016532	 8.52e-01	 9.39e-01	no
ENSMUSG00000039617	Gm7488			 5.13e-01	 3.38e-01	-0.174945	 1.80e-01	 7.44e-01	 5.69e-01	-0.174840	 1.47e-01	-0.174945	 1.80e-01	 4.59e-01	no
ENSMUSG00000052684	Jun	FBgn0001291	Jra	 5.72e-01	 4.71e-01	-0.100872	 1.90e-01	 1.50e-02	-8.59e-02	-0.100756	 2.34e-01	-0.100756	 2.34e-01	 5.27e-01	no
ENSMUSG00000052539	Magi3			-5.48e-01	-5.81e-01	-0.033185	 6.96e-01	-3.77e-01	-4.10e-01	-0.033369	 7.20e-01	-0.033369	 7.20e-01	 8.81e-01	yes
ENSMUSG00000021831	Ero1l	FBgn0261274	Ero1L	-6.67e-01	-3.03e-01	 0.364031	 1.48e-05	-4.88e-01	-1.24e-01	 0.364031	 7.50e-05	 0.364031	 7.50e-05	 2.38e-03	no
