pathways_name_level0,gene_secondary_identifier,gene_symbol,pathways_identifier_level1,pathways_name_level1,datasets_name,gene_primary_identifier
Immune System,CG34440,lmgA,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0250903
Cellular responses to stimuli,CG34440,lmgA,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0250903
DNA Replication,CG34440,lmgA,R-DME-69002,DNA Replication Pre-Initiation,Reactome pathways data set,FBgn0250903
DNA Replication,CG34440,lmgA,R-DME-69239,Synthesis of DNA,Reactome pathways data set,FBgn0250903
Cell Cycle,CG34440,lmgA,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0250903
Cell Cycle,CG34440,lmgA,R-DME-69620,Cell Cycle Checkpoints,Reactome pathways data set,FBgn0250903
Transport of small molecules,CG34447,CG34447,R-DME-174824,"Plasma lipoprotein assembly, remodeling, and clearance",Reactome pathways data set,FBgn0085476
Metabolism,CG34447,CG34447,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0085476
Digestion and absorption,CG34447,CG34447,R-DME-8935690,Digestion,Reactome pathways data set,FBgn0085476
Transport of small molecules,CG34448,CG34448,R-DME-174824,"Plasma lipoprotein assembly, remodeling, and clearance",Reactome pathways data set,FBgn0085477
Metabolism,CG34448,CG34448,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0085477
Digestion and absorption,CG34448,CG34448,R-DME-8935690,Digestion,Reactome pathways data set,FBgn0085477
Metabolism of proteins,CG34451,CG34451,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0085480
Metabolism of proteins,CG34452,CG34452,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0085481
Immune System,CG34455,Pdxk,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0085484
Metabolism,CG34455,Pdxk,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0085484
Metabolism,CG3446,ND-B16.6,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0029868
Metabolism,CG3454,Hdc,R-DME-71291,Metabolism of amino acids and derivatives,Reactome pathways data set,FBgn0005619
Immune System,CG3455,Rpt4,R-DME-1280215,Cytokine Signaling in Immune system,Reactome pathways data set,FBgn0028685
Immune System,CG3455,Rpt4,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0028685
Immune System,CG3455,Rpt4,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0028685
Signal Transduction,CG3455,Rpt4,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0028685
Drosophila signaling pathways,CG3455,Rpt4,R-DME-209392,Hedgehog pathway,Reactome pathways data set,FBgn0028685
Drosophila signaling pathways,CG3455,Rpt4,R-DME-209412,Wingless pathway,Reactome pathways data set,FBgn0028685
Drosophila signaling pathways,CG3455,Rpt4,R-DME-209449,Toll pathway,Reactome pathways data set,FBgn0028685
Cellular responses to stimuli,CG3455,Rpt4,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0028685
Transport of small molecules,CG3455,Rpt4,R-DME-382556,ABC-family proteins mediated transport,Reactome pathways data set,FBgn0028685
Drosophila signaling pathways,CG3455,Rpt4,R-DME-432626,Circadian Clock pathway,Reactome pathways data set,FBgn0028685
Metabolism of RNA,CG3455,Rpt4,R-DME-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,Reactome pathways data set,FBgn0028685
Signal Transduction,CG3455,Rpt4,R-DME-5358351,Signaling by Hedgehog,Reactome pathways data set,FBgn0028685
Metabolism of proteins,CG3455,Rpt4,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0028685
DNA Replication,CG3455,Rpt4,R-DME-69002,DNA Replication Pre-Initiation,Reactome pathways data set,FBgn0028685
DNA Replication,CG3455,Rpt4,R-DME-69239,Synthesis of DNA,Reactome pathways data set,FBgn0028685
Cell Cycle,CG3455,Rpt4,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0028685
Cell Cycle,CG3455,Rpt4,R-DME-69620,Cell Cycle Checkpoints,Reactome pathways data set,FBgn0028685
Metabolism,CG3455,Rpt4,R-DME-71291,Metabolism of amino acids and derivatives,Reactome pathways data set,FBgn0028685
Gene expression (Transcription),CG3455,Rpt4,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0028685
Signal Transduction,CG3455,Rpt4,R-DME-9006925,Intracellular signaling by second messengers,Reactome pathways data set,FBgn0028685
Metabolism,CG3456,Mct1,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0023549
Hemostasis,CG3456,Mct1,R-DME-202733,Cell surface interactions at the vascular wall,Reactome pathways data set,FBgn0023549
Transport of small molecules,CG3456,Mct1,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0023549
Drug ADME,CG3456,Mct1,R-DME-9749641,Aspirin ADME,Reactome pathways data set,FBgn0023549
Metabolism,CG3466,Cyp4d2,R-DME-211859,Biological oxidations,Reactome pathways data set,FBgn0011576
Sensory Perception,CG3466,Cyp4d2,R-DME-2187338,Visual phototransduction,Reactome pathways data set,FBgn0011576
Metabolism,CG3466,Cyp4d2,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0011576
Transport of small molecules,CG3478,ppk,R-DME-983712,Ion channel transport,Reactome pathways data set,FBgn0020258
Cell Cycle,CG3480,mip130,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0023509
Sensory Perception,CG3484,Adhr,R-DME-2187338,Visual phototransduction,Reactome pathways data set,FBgn0000056
Signal Transduction,CG3484,Adhr,R-DME-9006931,Signaling by Nuclear Receptors,Reactome pathways data set,FBgn0000056
Vesicle-mediated transport,CG3493,Golgin245,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0034854
Metabolism of proteins,CG3495,Gmer,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0267823
Gene expression (Transcription),CG3497,Su(H),R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0004837
Transport of small molecules,CG3499,YME1L,R-DME-8949215,Mitochondrial calcium ion transport,Reactome pathways data set,FBgn0034792
Immune System,CG3502,CG3502,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0046253
Metabolism of proteins,CG3502,CG3502,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0046253
Immune System,CG3504,inaD,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0001263
Programmed Cell Death,CG3509,BigH1,R-DME-109581,Apoptosis,Reactome pathways data set,FBgn0038252
Cell Cycle,CG3510,CycB,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0000405
Cell Cycle,CG3510,CycB,R-DME-69620,Cell Cycle Checkpoints,Reactome pathways data set,FBgn0000405
Gene expression (Transcription),CG3510,CycB,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0000405
Metabolism of RNA,CG3511,CG3511,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0035027
Metabolism,CG3523,FASN1,R-DME-163685,Integration of energy metabolism,Reactome pathways data set,FBgn0283427
Metabolism,CG3523,FASN1,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0283427
Metabolism,CG3523,FASN1,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0283427
Metabolism,CG3525,eas,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0000536
Metabolism of RNA,CG3527,CG3527,R-DME-72312,rRNA processing,Reactome pathways data set,FBgn0029714
Immune System,CG3529,CG3529,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0035995
Metabolism,CG3530,Mtmr6,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0028497
Vesicle-mediated transport,CG3532,GCC185,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0037979
Metabolism,CG3534,CG3534,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0038463
Vesicle-mediated transport,CG3539,Slh,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0264978
Metabolism of proteins,CG3539,Slh,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0264978
Signal Transduction,CG3539,Slh,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0264978
Metabolism,CG3540,Cyp4d14,R-DME-211859,Biological oxidations,Reactome pathways data set,FBgn0023541
Metabolism,CG3540,Cyp4d14,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0023541
Metabolism of RNA,CG3542,Prp40,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0031492
Immune System,CG3556,CG3556,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0029708
Metabolism,CG3556,CG3556,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0029708
Metabolism,CG3560,UQCR-14,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0030733
Vesicle-mediated transport,CG3564,CHOp24,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0029709
Metabolism of proteins,CG3564,CHOp24,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0029709
Metabolism,CG3573,Ocrl,R-DME-1483249,Inositol phosphate metabolism,Reactome pathways data set,FBgn0023508
Vesicle-mediated transport,CG3573,Ocrl,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0023508
Metabolism,CG3573,Ocrl,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0023508
Metabolism,CG3576,schlank,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0040918
Metabolism of RNA,CG3582,U2af38,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0017457
Gene expression (Transcription),CG3582,U2af38,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0017457
Signal Transduction,CG3584,qkr58E-3,R-DME-9006927,Signaling by Non-Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0022984
Protein localization,CG3589,CG3589,R-DME-9033241,Peroxisomal protein import,Reactome pathways data set,FBgn0035065
Metabolism,CG3590,AdSL,R-DME-15869,Metabolism of nucleotides,Reactome pathways data set,FBgn0038467
Metabolism,CG3593,r-l,R-DME-15869,Metabolism of nucleotides,Reactome pathways data set,FBgn0003257
Drosophila signaling pathways,CG3595,sqh,R-DME-350431,Planar Cell Polarity pathway,Reactome pathways data set,FBgn0003514
Developmental Biology,CG3595,sqh,R-DME-9675108,Nervous system development,Reactome pathways data set,FBgn0003514
Signal Transduction,CG3595,sqh,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0003514
Metabolism of RNA,CG3605,Sf3b2,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0031493
Metabolism of RNA,CG3606,caz,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0285954
Gene expression (Transcription),CG3606,caz,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0285954
Metabolism,CG3612,blw,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0011211
Organelle biogenesis and maintenance,CG3612,blw,R-DME-1592230,Mitochondrial biogenesis,Reactome pathways data set,FBgn0011211
Signal Transduction,CG3613,qkr58E-1,R-DME-9006927,Signaling by Non-Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0022986
Metabolism,CG3620,norpA,R-DME-1483249,Inositol phosphate metabolism,Reactome pathways data set,FBgn0262738
Signal Transduction,CG3620,norpA,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0262738
Metabolism,CG3621,ND-B14.5A,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0025839
Metabolism of proteins,CG3622,stl,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0086408
Metabolism,CG3626,CG3626,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0029706
Autophagy,CG3632,CG3632,R-DME-1632852,Macroautophagy,Reactome pathways data set,FBgn0030735
Metabolism,CG3632,CG3632,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0030735
Signal Transduction,CG3632,CG3632,R-DME-9006936,Signaling by TGFB family members,Reactome pathways data set,FBgn0030735
Metabolism of proteins,CG3633,mRpS29,R-DME-72766,Translation,Reactome pathways data set,FBgn0034727
Developmental Biology,CG3635,CG3635,R-DME-6805567,Keratinization,Reactome pathways data set,FBgn0032981
Digestion and absorption,CG3635,CG3635,R-DME-8935690,Digestion,Reactome pathways data set,FBgn0032981
Vesicle-mediated transport,CG3637,Cortactin,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0025865
Transport of small molecules,CG3638,CG3638,R-DME-983712,Ion channel transport,Reactome pathways data set,FBgn0261444
Metabolism of proteins,CG3639,Pex12,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0031282
Protein localization,CG3639,Pex12,R-DME-9033241,Peroxisomal protein import,Reactome pathways data set,FBgn0031282
Protein localization,CG3639,Pex12,R-DME-9603798,Class I peroxisomal membrane protein import,Reactome pathways data set,FBgn0031282
Metabolism of RNA,CG3642,Clp,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0015621
Gene expression (Transcription),CG3642,Clp,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0015621
Metabolism of RNA,CG3642,Clp,R-DME-75067,Processing of Capped Intronless Pre-mRNA,Reactome pathways data set,FBgn0015621
Vesicle-mediated transport,CG3652,CG3652,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0031600
Gene expression (Transcription),CG3654,Jarid2,R-DME-212165,Epigenetic regulation of gene expression,Reactome pathways data set,FBgn0036004
Gene expression (Transcription),CG3654,Jarid2,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0036004
Metabolism,CG3656,Cyp4d1,R-DME-211859,Biological oxidations,Reactome pathways data set,FBgn0005670
Metabolism,CG3656,Cyp4d1,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0005670
DNA Replication,CG3658,Cdc45,R-DME-69002,DNA Replication Pre-Initiation,Reactome pathways data set,FBgn0026143
Cell Cycle,CG3658,Cdc45,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0026143
Cell Cycle,CG3658,Cdc45,R-DME-69620,Cell Cycle Checkpoints,Reactome pathways data set,FBgn0026143
Metabolism of proteins,CG3661,RpL23,R-DME-72766,Translation,Reactome pathways data set,FBgn0010078
Metabolism of RNA,CG3661,RpL23,R-DME-927802,Nonsense-Mediated Decay (NMD),Reactome pathways data set,FBgn0010078
Immune System,CG3664,Rab5,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0014010
Vesicle-mediated transport,CG3664,Rab5,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0014010
Metabolism of proteins,CG3664,Rab5,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0014010
Metabolism of proteins,CG3666,Tsf3,R-DME-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Reactome pathways data set,FBgn0034094
Metabolism of proteins,CG3666,Tsf3,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0034094
Immune System,CG3671,Mvl,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0011672
Transport of small molecules,CG3671,Mvl,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0011672
Transport of small molecules,CG3671,Mvl,R-DME-917937,Iron uptake and transport,Reactome pathways data set,FBgn0011672
Signal Transduction,CG3682,PIP5K59B,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0034789
Vesicle-mediated transport,CG3682,PIP5K59B,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0034789
Metabolism,CG3682,PIP5K59B,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0034789
Signal Transduction,CG3682,PIP5K59B,R-DME-9006925,Intracellular signaling by second messengers,Reactome pathways data set,FBgn0034789
Developmental Biology,CG3682,PIP5K59B,R-DME-9675108,Nervous system development,Reactome pathways data set,FBgn0034789
Metabolism,CG3683,ND-19,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0035046
Metabolism of RNA,CG3688,Rnmt,R-DME-72086,mRNA Capping,Reactome pathways data set,FBgn0286027
Gene expression (Transcription),CG3688,Rnmt,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0286027
Metabolism of RNA,CG3689,Cpsf5,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0288470
Gene expression (Transcription),CG3689,Cpsf5,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0288470
Metabolism of RNA,CG3689,Cpsf5,R-DME-75067,Processing of Capped Intronless Pre-mRNA,Reactome pathways data set,FBgn0288470
Immune System,CG3692,CalpC,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0260450
Neuronal System,CG3694,Ggamma30A,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0267252
Neuronal System,CG3694,Ggamma30A,R-DME-1296071,Potassium Channels,Reactome pathways data set,FBgn0267252
Metabolism,CG3694,Ggamma30A,R-DME-163685,Integration of energy metabolism,Reactome pathways data set,FBgn0267252
Signal Transduction,CG3694,Ggamma30A,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0267252
Signal Transduction,CG3694,Ggamma30A,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0267252
Metabolism of proteins,CG3694,Ggamma30A,R-DME-391251,Protein folding,Reactome pathways data set,FBgn0267252
Hemostasis,CG3694,Ggamma30A,R-DME-418346,Platelet homeostasis,Reactome pathways data set,FBgn0267252
Hemostasis,CG3694,Ggamma30A,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0267252
Signal Transduction,CG3694,Ggamma30A,R-DME-9006931,Signaling by Nuclear Receptors,Reactome pathways data set,FBgn0267252
Sensory Perception,CG3694,Ggamma30A,R-DME-9717189,Sensory perception of taste,Reactome pathways data set,FBgn0267252
Signal Transduction,CG3696,kis,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0266557
DNA Repair,CG3697,mei-9,R-DME-5696398,Nucleotide Excision Repair,Reactome pathways data set,FBgn0002707
Metabolism,CG3705,aay,R-DME-71291,Metabolism of amino acids and derivatives,Reactome pathways data set,FBgn0023129
Cell Cycle,CG3707,wapl,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0004655
DNA Repair,CG3710,TfIIS,R-DME-5696398,Nucleotide Excision Repair,Reactome pathways data set,FBgn0010422
Gene expression (Transcription),CG3710,TfIIS,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0010422
Metabolism of proteins,CG3712,mRpL33,R-DME-72766,Translation,Reactome pathways data set,FBgn0040907
Immune System,CG3714,Naprt,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0031589
Metabolism,CG3714,Naprt,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0031589
Immune System,CG3715,Shc,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0015296
Hemostasis,CG3715,Shc,R-DME-202733,Cell surface interactions at the vascular wall,Reactome pathways data set,FBgn0015296
Signal Transduction,CG3715,Shc,R-DME-354192,Integrin signaling,Reactome pathways data set,FBgn0015296
Signal Transduction,CG3715,Shc,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0015296
Signal Transduction,CG3715,Shc,R-DME-5683057,MAPK family signaling cascades,Reactome pathways data set,FBgn0015296
Hemostasis,CG3715,Shc,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0015296
Signal Transduction,CG3715,Shc,R-DME-9006335,Signaling by Erythropoietin,Reactome pathways data set,FBgn0015296
Signal Transduction,CG3715,Shc,R-DME-9006931,Signaling by Nuclear Receptors,Reactome pathways data set,FBgn0015296
Signal Transduction,CG3715,Shc,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0015296
Metabolism,CG3717,bcn92,R-DME-1362409,Mitochondrial iron-sulfur cluster biogenesis,Reactome pathways data set,FBgn0013432
Metabolism,CG3724,Pgd,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0004654
Hemostasis,CG3725,SERCA,R-DME-418346,Platelet homeostasis,Reactome pathways data set,FBgn0263006
Muscle contraction,CG3725,SERCA,R-DME-5576891,Cardiac conduction,Reactome pathways data set,FBgn0263006
Transport of small molecules,CG3725,SERCA,R-DME-983712,Ion channel transport,Reactome pathways data set,FBgn0263006
Signal Transduction,CG3727,dock,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0010583
Developmental Biology,CG3727,dock,R-DME-9675108,Nervous system development,Reactome pathways data set,FBgn0010583
Signal Transduction,CG3727,dock,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0010583
Chromatin organization,CG3730,csul,R-DME-3247509,Chromatin modifying enzymes,Reactome pathways data set,FBgn0015925
Metabolism,CG3731,UQCR-C1,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0038271
Transport of small molecules,CG3731,UQCR-C1,R-DME-8949215,Mitochondrial calcium ion transport,Reactome pathways data set,FBgn0038271
Metabolism of RNA,CG3735,CG3735,R-DME-72312,rRNA processing,Reactome pathways data set,FBgn0034933
Cell Cycle,CG3738,Cks30A,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0010314
Metabolism of RNA,CG3751,RpS24,R-DME-72312,rRNA processing,Reactome pathways data set,FBgn0261596
Metabolism of proteins,CG3751,RpS24,R-DME-72766,Translation,Reactome pathways data set,FBgn0261596
Metabolism of RNA,CG3751,RpS24,R-DME-927802,Nonsense-Mediated Decay (NMD),Reactome pathways data set,FBgn0261596
Neuronal System,CG3752,Aldh,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0012036
Metabolism,CG3752,Aldh,R-DME-211859,Biological oxidations,Reactome pathways data set,FBgn0012036
Metabolism,CG3752,Aldh,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0012036
Signal Transduction,CG3752,Aldh,R-DME-9006931,Signaling by Nuclear Receptors,Reactome pathways data set,FBgn0012036
Gene expression (Transcription),CG3756,Polr1C,R-DME-73864,RNA Polymerase I Transcription,Reactome pathways data set,FBgn0031657
Gene expression (Transcription),CG3756,Polr1C,R-DME-74158,RNA Polymerase III Transcription,Reactome pathways data set,FBgn0031657
Immune System,CG3762,Vha68-2,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0263598
Cellular responses to stimuli,CG3762,Vha68-2,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0263598
Signal Transduction,CG3762,Vha68-2,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0263598
Transport of small molecules,CG3762,Vha68-2,R-DME-917937,Iron uptake and transport,Reactome pathways data set,FBgn0263598
Transport of small molecules,CG3762,Vha68-2,R-DME-983712,Ion channel transport,Reactome pathways data set,FBgn0263598
Cellular responses to stimuli,CG3764,CG3764,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0036684
Organelle biogenesis and maintenance,CG3769,CG3769,R-DME-5617833,Cilium Assembly,Reactome pathways data set,FBgn0032119
Hemostasis,CG3770,CG3770,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0035085
Drosophila signaling pathways,CG3772,cry,R-DME-432626,Circadian Clock pathway,Reactome pathways data set,FBgn0025680
Transport of small molecules,CG3774,Efr,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0029849
Immune System,CG3775,Nep6,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0030425
Metabolism of proteins,CG3775,Nep6,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0030425
Transport of small molecules,CG3776,CG3776,R-DME-8949215,Mitochondrial calcium ion transport,Reactome pathways data set,FBgn0035088
Signal Transduction,CG3779,numb,R-DME-5358351,Signaling by Hedgehog,Reactome pathways data set,FBgn0002973
Metabolism of proteins,CG3781,CG3781,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0029853
Metabolism of proteins,CG3782,mRpL28,R-DME-72766,Translation,Reactome pathways data set,FBgn0031660
Metabolism,CG3788,CG3788,R-DME-15869,Metabolism of nucleotides,Reactome pathways data set,FBgn0034800
Neuronal System,CG3790,Balat,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0033778
Metabolism,CG3790,Balat,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0033778
Drug ADME,CG3790,Balat,R-DME-2161522,Abacavir ADME,Reactome pathways data set,FBgn0033778
Transport of small molecules,CG3790,Balat,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0033778
Metabolism,CG3790,Balat,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0033778
Drug ADME,CG3790,Balat,R-DME-9749641,Aspirin ADME,Reactome pathways data set,FBgn0033778
Metabolism of proteins,CG3792,CG3792,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0031662
Cell Cycle,CG3793,CG3793,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0028507
Metabolism,CG3803,CG3803,R-DME-189445,Metabolism of porphyrins,Reactome pathways data set,FBgn0034938
Metabolism of proteins,CG3806,eIF2Bepsilon,R-DME-72766,Translation,Reactome pathways data set,FBgn0023512
Metabolism,CG3812,Agpat1,R-DME-163685,Integration of energy metabolism,Reactome pathways data set,FBgn0030421
Metabolism,CG3812,Agpat1,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0030421
Gene expression (Transcription),CG3820,Nup214,R-DME-211000,Gene Silencing by RNA,Reactome pathways data set,FBgn0010660
Cellular responses to stimuli,CG3820,Nup214,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0010660
Metabolism of RNA,CG3820,Nup214,R-DME-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,Reactome pathways data set,FBgn0010660
Metabolism of proteins,CG3820,Nup214,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0010660
Cell Cycle,CG3820,Nup214,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0010660
Metabolism of RNA,CG3820,Nup214,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0010660
Neuronal System,CG3822,KaiR1D,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0038837
Vesicle-mediated transport,CG3822,KaiR1D,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0038837
Metabolism of proteins,CG3822,KaiR1D,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0038837
Metabolism,CG3823,CG3823,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0029863
Metabolism,CG3835,D2hgdh,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0023507
Signal Transduction,CG3848,trr,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0023518
